User ID,Password,First Name,Middle Name,Last Name,Gender,Organiztaion,Birthdate,Salary Base,HSA Annual Credits,HSA Remaining
3001,PMgQjnYF8cr4Bz5,Milo,Jan,Judge,Male,TCCAC,01/01/1979,60000,1500,1500
3002,AWX36evdMrFB4BW,Viviane,Rosa,Keeley,Female,TCCAC,01/01/1979,58000,3000,3000
3003,bmt3fXwPYn3TkRj,Ivah,Ludie,Dawn,Male,TCCAC,01/01/1979,102200,4500,4500
3004,BYezGqBJzxfqaRh,Giovani,Diego,Jayne,Female,TCCAC,01/01/1979,63444,6000,6000
3005,haYXq5MWAbXCCWz,Abbigail,Andreanne,Jensen,Male,TCCAC,01/01/1979,50000,6500,6500
3006,XTLHQ3f76J9effj,Branson,Sadye,Ellen,Female,TCCAC,01/01/1979,60000,3000,3000
3007,BCJNBhywqHLp53k,Estevan,Kirk,Faustino,Male,TCCAC,01/01/1979,58000,1000,1000
3008,fNYnDBbuMeu6jE2,Ava,Veda,Lavina,Female,TCCAC,01/01/1979,102200,500,500
3009,25SkRk8RHUgstLq,Katrina,Bria,Cheyanne,Male,TCCAC,01/01/1979,63444,350,350
3010,Kjxq8UrGzyS7YF5,Jacky,Bobbie,Titus,Female,TCCAC,01/01/1979,50000,100,100
